Menu,Secondary Service Tone
"For service in English, press 6. Para servicio en Español, presione #.",6
"For service in English, press 1. Para servicio en Español, presione 9.",1
"For service in English, press 5. Para servicio en Español, presione 2.",5
"For service in English, press 0. Para servicio en Español, presione 5.",0
"For service in English, press *. Para servicio en Español, presione 3.",*
"For service in English, press 4. Para servicio en Español, presione 8.",4
"For service in English, press 7. Para servicio en Español, presione #.",7
"For service in English, press 0. Para servicio en Español, presione 1.",0
"For service in English, press 7. Para servicio en Español, presione 1.",7
"For service in English, press 5. Para servicio en Español, presione 0.",5
"For service in English, press 7. Para servicio en Español, presione 3.",7
"For service in English, press *. Para servicio en Español, presione 2.",*
"For service in English, press #. Para servicio en Español, presione 4.",#
"For service in English, press 0. Para servicio en Español, presione 8.",0
"For service in English, press 3. Para servicio en Español, presione 4.",3
"For service in English, press #. Para servicio en Español, presione 0.",#
"For service in English, press 8. Para servicio en Español, presione 6.",8
"For service in English, press 0. Para servicio en Español, presione 6.",0
"For service in English, press 4. Para servicio en Español, presione *.",4
"For service in English, press 3. Para servicio en Español, presione 6.",3
"complaints inquiries, please press 6. If you need billing, please press 1. representatives inquiries, please press 5.",5
"If you need billing, please press 0. complaints department can be reached by pressing 6. Press 3 to speak with a support representative. For technical support, press 2. For for any else, press #.",#
"If you need technical support, please press 1. For customer support, press 7.",7
"support department can be reached by pressing 4. If you need returns, please press 3. If you need reservations, please press 0.",0
"For support, press 6. estimates inquiries, please press 8.",8
"If you need billing, please press 1. returns inquiries, please press 2. If you need support, please press 6. Press 5 to speak with a for any else representative.",5
"For support, press 8. returns department can be reached by pressing 1. complaints department can be reached by pressing 6. If you need estimates, please press 3.",3
"support inquiries, please press 9. Press 6 to speak with a complaints representative. Press 4 to speak with a billing representative. returns department can be reached by pressing 3. If you need reservations, please press 0.",0
"returns inquiries, please press 5. Press 2 to speak with a representatives representative.",2
"If you need technical support, please press *. sales inquiries, please press 8.",8
"support department can be reached by pressing 9. billing inquiries, please press 6. Press 2 to speak with a for any else representative.",2
"If you need complaints, please press 5. estimates inquiries, please press 6.",6
"technical support department can be reached by pressing 6. For returns, press 7. complaints department can be reached by pressing 2. If you need support, please press *. customer support department can be reached by pressing 4.",4
"For returns, press 9. reservations inquiries, please press #.",#
"complaints department can be reached by pressing 1. If you need technical support, please press 0. If you need returns, please press 8. billing inquiries, please press 4. Press 6 to speak with a reservations representative.",6
"complaints inquiries, please press 6. If you need returns, please press 0. technical support inquiries, please press 8. If you need billing, please press 1. customer support inquiries, please press 4.",4
"If you need technical support, please press 6. billing inquiries, please press 8. returns department can be reached by pressing #. If you need support, please press 4. Press 3 to speak with a sales representative.",3
"complaints inquiries, please press 1. Press # to speak with a estimates representative.",#
"Press 8 to speak with a technical support representative. billing inquiries, please press *. If you need quotes, please press 5.",5
"complaints inquiries, please press 7. Press * to speak with a billing representative. For returns, press 9. sales department can be reached by pressing 5.",5
"If you need billing, please press 2. For for any else, press #.",#
"For support, press 5. estimates department can be reached by pressing 7.",7
"If you need complaints, please press 5. reservations inquiries, please press 8.",8
Press 0 to speak with a support representative. Press 8 to speak with a technical support representative. customer support department can be reached by pressing 3.,3
"Press 9 to speak with a complaints representative. customer support inquiries, please press 7.",7
"For support, press 5. For customer support, press 3.",3
"If you need returns, please press 3. billing inquiries, please press 7. reservations inquiries, please press 4.",4
"If you need returns, please press *. If you need reservations, please press 4.",4
"For technical support, press *. For customer support, press 5.",5
"If you need support, please press 2. technical support department can be reached by pressing 4. For billing, press 0. If you need returns, please press 1. If you need for any else, please press 6.",6
"If you need returns, please press 0. Press 4 to speak with a estimates representative.",4
"If you need billing, please press 5. For reservations, press 7.",7
"support inquiries, please press 4. returns department can be reached by pressing *. Press # to speak with a quotes representative.",#
